JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18290625|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:18:42|4|8G||2026-08-07T01:44:30|2026-08-07T02:03:12
18290673|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:25:09|4|8G||2026-08-07T01:49:30|2026-08-07T02:14:39
18290823|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:01|4|8G||2026-08-07T02:04:31|2026-08-07T02:04:32
18290870|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:01|4|8G||2026-08-07T02:09:31|2026-08-07T02:09:32
18290921|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:11:11|4|8G||2026-08-07T02:14:32|2026-08-07T02:25:43
18290967|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T02:19:32|2026-08-07T02:19:32
18291016|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T02:24:32|2026-08-07T02:24:32
18291017|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:34:18|4|8G||2026-08-07T02:24:32|2026-08-07T02:58:50
18291064|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:18:10|4|8G||2026-08-07T02:29:32|2026-08-07T02:47:42
18291065|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:10|4|8G||2026-08-07T02:29:32|2026-08-07T02:42:42
18291218|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:48|4|8G||2026-08-07T02:44:33|2026-08-07T02:58:21
18291263|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T02:49:34|2026-08-07T02:49:34
18291312|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:05:47|4|8G||2026-08-07T02:54:34|2026-08-07T03:00:21
18291355|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:26|4|8G||2026-08-07T02:59:34|2026-08-07T03:01:00
18291356|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|04:11:22|4|8G||2026-08-07T02:59:34|2026-08-07T07:10:56
18291402|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:53:31|4|8G||2026-08-07T03:04:35|2026-08-07T05:58:06
18291403|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:15:19|4|8G||2026-08-07T03:04:35|2026-08-07T05:19:54
